IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
129.154.207.203,443,true,ICN,Asia Pacific,Seoul,81 ms,12048 kB/s
140.238.60.225,443,true,NRT,Asia Pacific,Tokyo,196 ms,11747 kB/s
138.2.66.92,443,true,SIN,Asia Pacific,Singapore,73 ms,11449 kB/s
158.178.245.161,443,true,SIN,Asia Pacific,Singapore,219 ms,11312 kB/s
138.2.123.70,443,true,ICN,Asia Pacific,Seoul,119 ms,11197 kB/s
152.70.90.223,443,true,ICN,Asia Pacific,Seoul,151 ms,10863 kB/s
144.24.88.183,443,true,ICN,Asia Pacific,Seoul,126 ms,10771 kB/s
158.180.89.73,443,true,ICN,Asia Pacific,Seoul,122 ms,10630 kB/s
150.230.249.48,443,true,ICN,Asia Pacific,Seoul,118 ms,10558 kB/s
193.122.116.188,443,true,ICN,Asia Pacific,Seoul,117 ms,10535 kB/s
152.70.90.168,443,true,ICN,Asia Pacific,Seoul,179 ms,9699 kB/s
152.70.97.78,443,true,NRT,Asia Pacific,Tokyo,126 ms,9462 kB/s
152.70.117.174,443,true,SJC,North America,San Jose,192 ms,9342 kB/s
192.18.134.22,443,true,SJC,North America,San Jose,195 ms,8790 kB/s
129.146.240.62,443,true,LAX,North America,Los Angeles,181 ms,8750 kB/s
192.9.158.188,443,true,SJC,North America,San Jose,191 ms,7968 kB/s
150.230.102.132,443,true,NRT,Asia Pacific,Tokyo,197 ms,7403 kB/s
165.1.74.145,443,true,SJC,North America,San Jose,191 ms,7096 kB/s
146.56.179.91,443,true,ICN,Asia Pacific,Seoul,128 ms,5747 kB/s
168.138.162.187,443,true,SIN,Asia Pacific,Singapore,87 ms,5725 kB/s
152.69.222.9,443,true,SIN,Asia Pacific,Singapore,77 ms,5632 kB/s
150.230.34.116,443,true,SJC,North America,San Jose,195 ms,5600 kB/s
140.238.18.74,443,true,ICN,Asia Pacific,Seoul,184 ms,5533 kB/s
168.138.215.251,443,true,NRT,Asia Pacific,Tokyo,83 ms,5515 kB/s
168.138.212.80,443,true,NRT,Asia Pacific,Tokyo,193 ms,5405 kB/s
168.138.209.31,443,true,NRT,Asia Pacific,Tokyo,191 ms,5345 kB/s
193.123.61.249,443,true,FRA,Europe,Frankfurt,326 ms,5344 kB/s
64.110.104.30,443,true,KIX,Asia Pacific,Osaka,213 ms,5287 kB/s
146.56.113.141,443,true,SIN,Asia Pacific,Singapore,277 ms,5190 kB/s
158.180.65.145,443,true,ICN,Asia Pacific,Seoul,124 ms,5173 kB/s
131.186.28.129,443,true,ICN,Asia Pacific,Seoul,121 ms,5172 kB/s
146.56.101.141,443,true,ICN,Asia Pacific,Seoul,120 ms,5084 kB/s
129.154.59.99,443,true,ICN,Asia Pacific,Seoul,132 ms,4964 kB/s
132.145.94.80,443,true,ICN,Asia Pacific,Seoul,128 ms,4862 kB/s
150.230.63.93,443,true,KIX,Asia Pacific,Osaka,99 ms,4732 kB/s
131.186.60.210,443,true,NRT,Asia Pacific,Tokyo,195 ms,4677 kB/s
152.70.161.27,443,true,FRA,Europe,Frankfurt,244 ms,4554 kB/s
132.226.215.209,443,true,FRA,Europe,Frankfurt,287 ms,4497 kB/s
152.70.57.114,443,true,FRA,Europe,Frankfurt,329 ms,4491 kB/s
129.146.254.39,443,true,LAX,North America,Los Angeles,196 ms,4360 kB/s
140.83.61.244,443,true,KIX,Asia Pacific,Osaka,86 ms,4330 kB/s
168.138.184.172,443,true,SIN,Asia Pacific,Singapore,67 ms,4327 kB/s
141.144.204.6,443,true,FRA,Europe,Frankfurt,276 ms,4271 kB/s
141.145.217.226,443,true,CDG,Europe,Paris,257 ms,4120 kB/s
144.24.76.217,443,true,SIN,Asia Pacific,Singapore,280 ms,4058 kB/s
132.226.114.74,443,true,LAX,North America,Los Angeles,190 ms,3984 kB/s
129.146.168.102,443,true,LAX,North America,Los Angeles,197 ms,3931 kB/s
168.138.165.174,443,true,SIN,Asia Pacific,Singapore,77 ms,3794 kB/s
129.151.148.35,443,true,DXB,Middle East,Dubai,255 ms,3480 kB/s
152.70.50.95,443,true,FRA,Europe,Frankfurt,269 ms,3430 kB/s
152.70.59.157,443,true,FRA,Europe,Frankfurt,266 ms,3288 kB/s
130.162.54.141,443,true,FRA,Europe,Frankfurt,269 ms,3277 kB/s
141.148.187.195,443,true,LAX,North America,Los Angeles,196 ms,3259 kB/s
141.148.231.238,443,true,FRA,Europe,Frankfurt,317 ms,3175 kB/s
152.70.171.117,443,true,FRA,Europe,Frankfurt,288 ms,3040 kB/s
